Filename,mIoU_Animals_Only
o_1036262_0_semantic.png,0.0000
o_1035264_7_semantic.png,0.7123
o_1035100_20_semantic.png,0.0000
o_1034883_17_semantic.png,0.0094
o_1034703_17_semantic.png,0.7226
o_1036213_7_semantic.png,0.0000
o_1034506_17_semantic.png,0.9251
o_1035735_12_semantic.png,0.1940
o_1036098_17_semantic.png,0.0000
o_1035622_20_semantic.png,0.0000
o_1035305_20_semantic.png,0.4271
o_1035141_0_semantic.png,0.0000
o_1027958_12_semantic.png,0.0000
o_1034947_17_semantic.png,0.0000
o_1035093_7_semantic.png,0.0000
o_1034414_17_semantic.png,0.0000
o_1036163_17_semantic.png,0.2597
o_1035312_0_semantic.png,0.7751
o_1036314_7_semantic.png,0.0034
o_1035627_12_semantic.png,0.0000
o_1035730_20_semantic.png,0.0271
o_1035105_12_semantic.png,0.0000
o_1034991_17_semantic.png,0.0000
o_1035363_7_semantic.png,0.0092
o_1034978_17_semantic.png,0.0000
o_1035194_7_semantic.png,0.4463
o_1036192_0_semantic.png,0.3238
o_1035028_12_semantic.png,0.0000
o_1035029_7_semantic.png,0.9174
o_1036031_0_semantic.png,0.1802
o_1035058_0_semantic.png,0.5483
o_1035863_12_semantic.png,0.2003
o_1035046_0_semantic.png,0.7795
o_1036040_7_semantic.png,0.2769
o_1034841_20_semantic.png,0.0599
o_1034828_7_semantic.png,0.0000
o_1035722_7_semantic.png,0.0463
o_1034728_20_semantic.png,0.0000
o_1035811_7_semantic.png,0.0497
o_1035681_7_semantic.png,0.0000
o_1035960_17_semantic.png,0.2955
o_1035753_0_semantic.png,0.0186
o_1034774_0_semantic.png,0.2853
o_1035989_17_semantic.png,0.1149
o_1035407_0_semantic.png,0.0172
o_1034583_0_semantic.png,0.0000
o_1035724_17_semantic.png,0.0960
o_1036089_12_semantic.png,0.0000
o_1034420_0_semantic.png,0.7491
o_1036265_12_semantic.png,0.1759
o_1035468_7_semantic.png,0.1688
o_1035521_17_semantic.png,0.0000
o_1035256_0_semantic.png,0.7594
o_1035842_12_semantic.png,0.1586
o_1034518_17_semantic.png,0.9618
o_1035248_0_semantic.png,0.8705
o_1035384_7_semantic.png,0.0000
o_1035439_20_semantic.png,0.1167
o_1034959_17_semantic.png,0.1446
o_1035173_7_semantic.png,0.3546
o_1036175_0_semantic.png,0.0223
o_1034630_17_semantic.png,0.0004
o_1035514_20_semantic.png,0.0000
o_1035321_12_semantic.png,0.0035
o_1036104_7_semantic.png,0.0567
o_1035986_12_semantic.png,0.0019
o_1034435_17_semantic.png,0.6658
o_1035891_20_semantic.png,0.8472
o_1035027_17_semantic.png,0.0000
o_1035500_17_semantic.png,0.0000
o_1035678_7_semantic.png,0.0000
o_1034733_12_semantic.png,0.0000
o_1035666_7_semantic.png,0.0000
o_1034624_20_semantic.png,0.0000
o_1036041_12_semantic.png,0.4226
o_1034536_12_semantic.png,0.0000
o_1034630_0_semantic.png,0.0004
o_1035887_0_semantic.png,0.7678
o_1034421_20_semantic.png,0.9246
o_1034903_0_semantic.png,0.0969
o_1035705_17_semantic.png,0.0793
o_1034793_0_semantic.png,0.0958
o_1035899_0_semantic.png,0.1186
o_1034564_0_semantic.png,0.0000
o_1035941_17_semantic.png,0.0128
o_1035543_0_semantic.png,0.0000
o_1035628_17_semantic.png,0.0000
o_1036185_12_semantic.png,0.0217
o_1034515_7_semantic.png,0.9022
o_1034709_20_semantic.png,0.6332
